Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
ADANIPORTS,EQ,738.85,738.65,768.9,728.5,764.95,765.1,751.82,8959781,673614062670000.0,149571,2378333,0.3259
ASIANPAINT,EQ,3553.5,3550.6,3564.0,3495.05,3535.05,3538.75,3530.4,734344,259253039555000.03,70402,298332,0.5193
AXISBANK,EQ,742.8,742.9,747.05,737.3,743.0,743.25,743.13,7252279,538937227655000.0,161884,3600691,0.5829
BAJAJ-AUTO,EQ,3435.1,3413.0,3445.95,3413.0,3435.0,3436.75,3434.95,225782,77554951385000.0,20945,108236,0.5690999999999999
BAJAJFINSV,EQ,17798.8,17700.0,17935.05,17621.1,17800.0,17799.5,17780.03,164818,293046911745000.0,31862,24900,0.1721
BAJFINANCE,EQ,7731.3,7739.0,7759.95,7571.0,7662.3,7669.85,7652.14,1037912,794225281130000.0,110618,355465,0.38810000000000006
BHARTIARTL,EQ,704.95,703.0,709.55,694.6,703.0,703.45,701.16,10642484,746208083375000.0,131814,5189288,0.5896
BPCL,EQ,397.55,398.8,398.8,390.15,391.0,391.15,392.86,3427008,134633843490000.02,76189,1651956,0.6356
BRITANNIA,EQ,3768.3,3768.3,3800.95,3738.1,3746.1,3743.35,3767.11,206008,77605422480000.0,35398,89474,0.5432
CIPLA,EQ,916.2,917.5,921.75,913.0,914.0,915.95,917.59,1578147,144809255625000.0,61608,605347,0.4678
COALINDIA,EQ,160.7,160.65,160.65,158.1,158.85,158.55,159.19,7670386,122105184755000.0,66645,2908629,0.44799999999999995
DIVISLAB,EQ,4465.8,4475.0,4539.85,4434.25,4516.5,4516.55,4517.03,476123,215066039319999.97,48274,222898,0.5142
DRREDDY,EQ,4699.05,4710.0,4739.9,4660.55,4665.0,4669.25,4692.93,309432,145214404780000.0,46460,96857,0.4535
EICHERMOT,EQ,2815.5,2814.0,2829.0,2781.4,2791.15,2794.35,2803.01,334700,93816869505000.0,34425,122854,0.438
GRASIM,EQ,1838.85,1834.15,1871.0,1821.0,1850.2,1846.9,1849.49,1410909,260945956130000.03,66732,428963,0.358
HCLTECH,EQ,1288.1,1288.65,1348.0,1280.0,1346.0,1343.65,1330.01,6772189,900705176090000.0,223289,2660963,0.4769
HDFC,EQ,2659.65,2664.0,2729.0,2664.0,2707.65,2710.95,2701.56,4170007,1126554369720000.0,167338,2291143,0.6496
HDFCBANK,EQ,1559.15,1561.55,1568.7,1547.8,1566.0,1565.9,1558.68,4194599,653805514440000.0,166520,2367791,0.6684
HDFCLIFE,EQ,662.95,662.95,665.9,656.25,658.0,658.15,658.8,1484964,97829721560000.0,57721,840110,0.6516
HEROMOTOCO,EQ,2578.1,2584.65,2592.15,2560.8,2565.1,2568.25,2576.61,372092,95873482500000.0,27846,164192,0.5613
HINDALCO,EQ,492.9,491.9,497.2,485.7,486.4,486.35,490.53,5346073,262243371419999.97,75250,1495245,0.3332
HINDUNILVR,EQ,2407.05,2417.15,2418.3,2392.0,2403.0,2403.65,2401.65,1321335,317338135660000.0,67472,879019,0.7755
ICICIBANK,EQ,810.75,809.75,814.7,801.9,810.0,810.65,808.9,9982061,807448882520000.0,196523,4658611,0.5658
INDUSINDBK,EQ,920.85,927.0,935.05,914.0,917.0,917.95,921.16,3383081,311636099940000.0,72202,1238808,0.4079
