Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
ADANIPORTS,EQ,765.1,769.5,774.9,754.0,762.0,763.55,766.1,5775798,442481340139999.94,105045,1348719,0.2335
ASIANPAINT,EQ,3538.75,3556.9,3582.45,3534.0,3547.0,3543.8,3550.21,594543,211074955525000.0,78042,335465,0.5642
AXISBANK,EQ,743.25,749.65,751.45,743.15,745.0,746.85,747.34,5294563,395686237325000.0,148781,2906361,0.5489
BAJAJ-AUTO,EQ,3436.75,3446.1,3452.0,3414.25,3435.1,3440.1,3435.42,198452,68176510275000.0,29217,71363,0.35960000000000003
BAJAJFINSV,EQ,17799.5,17900.0,18190.0,17750.0,17890.0,17935.3,17993.4,223394,401961772760000.0,40203,46275,0.2071
BAJFINANCE,EQ,7669.85,7726.0,7869.0,7691.8,7774.4,7774.5,7792.12,1458404,1136406540555000.0,161132,619459,0.42479999999999996
BHARTIARTL,EQ,703.45,707.95,732.7,704.2,729.15,730.2,718.93,12366953,889096459360000.0,168773,5928901,0.4794
BPCL,EQ,391.15,394.5,395.95,386.55,387.9,388.7,390.06,4623410,180341785575000.0,96011,3100390,0.6706000000000001
BRITANNIA,EQ,3743.35,3750.0,3759.75,3691.0,3704.0,3700.2,3717.11,311095,115637539184999.98,33322,223437,0.7182
CIPLA,EQ,915.95,918.4,918.4,901.2,907.2,906.2,907.0,2090537,189610788385000.0,116676,906777,0.4338
COALINDIA,EQ,158.55,160.4,160.75,158.5,159.0,159.35,159.31,6334581,100917994555000.0,57057,3030861,0.47850000000000004
DIVISLAB,EQ,4516.55,4531.05,4538.0,4467.05,4493.0,4492.9,4495.99,496883,223397869605000.03,47786,309817,0.6235
DRREDDY,EQ,4669.25,4680.0,4703.3,4634.0,4688.0,4693.4,4673.02,237769,111109942370000.0,29501,104664,0.44020000000000004
EICHERMOT,EQ,2794.35,2802.0,2828.9,2790.05,2809.95,2815.9,2812.77,440995,124041760315000.02,40343,162114,0.3676
